Name*,Institution,ORCID
Krishna Anujan,Smithsonian: NZCBI & SERC,0000-0003-3604-5895
Sean McMahon,Smithsonian: SERC & STRI,0000-0001-8302-6908
Sarayudh Bunyavejchewin,"National Parks Wildlife and Plant Conservation Department, Chatuchak, Bangkok 10900, Thailand",0000-0002-1976-5041
Stuart J. Davies,,0000-0002-8596-7522
Helene C. Muller-Landau,,0000-0002-3526-9021
Nantachai Pongpattananurak,"Kasetsart University, Thailand",0000-0001-8687-6182
Kristina Anderson-Teixeira,Smithsonian: NZCBI & STRI,0000-0001-8461-9713
