sp,iucn
SACCLI,LC
HOPEOD,VU
TETRNU,LC
POLYVI,
VATIHA,DD
DIPTAL,VU
ALPHVE,DD
GARCSP,
GARUPI,LC
NEOLOB,
CROTRO,LC
BACCRA,LC
DIOSWI,
ARYTLI,LC
PTERGR,LC
DIMOLO,DD
ACEROB,LC
PHOEPA,LC
IRVIMA,LC
LAGETO,
MACASI,LC
PERSXX,
MITRTH,LC
DIOSVA,
AFZEXY,EN
ANISCO,EN
TREWNU,LC
HARPAR,LC
GLUTOB,
CHUKTA,LC
