date,temperature_2m,temperature_2m_max,Rh_100
2007-01-01,292.6902656555176,299.03749084472656,0.7162507804716277
2007-01-02,293.7002302805583,300.5679473876953,0.7040875220437041
2007-01-03,293.6732470194499,300.77569580078125,0.7313226860489248
2007-01-04,294.01531473795575,300.85484313964844,0.6781348960899093
2007-01-05,295.14324951171875,300.069580078125,0.6600511782326564
2007-01-06,294.0184377034505,298.81207275390625,0.7050911905811988
2007-01-07,292.62671343485516,296.7289276123047,0.6812729180128897
2007-01-08,292.4105866750081,296.3901062011719,0.6634071761015472
2007-01-09,292.9182987213135,296.9747772216797,0.6663835030855966
2007-01-10,293.1562442779541,298.86517333984375,0.6842577932719387
2007-01-11,294.4759330749512,300.8910827636719,0.6813286901495599
2007-01-12,294.59556770324707,301.03387451171875,0.6480030677910898
2007-01-13,294.6832847595215,300.797607421875,0.7015793981700676
2007-01-14,295.49132347106934,301.382568359375,0.7075912409575151
2007-01-15,295.72644297281903,301.7431335449219,0.689710215152799
2007-01-16,295.9107786814372,302.1544494628906,0.6804940483079135
2007-01-17,296.22019958496094,302.60923767089844,0.6742128941919522
2007-01-18,296.5146935780843,302.1974792480469,0.6815487775418655
2007-01-19,296.4333159128825,302.9564971923828,0.6538058209892768
2007-01-20,295.52053387959796,304.0246887207031,0.5232477219958866
2007-01-21,295.4703063964844,303.28265380859375,0.5296041953382816
2007-01-22,296.8135503133138,302.56370544433594,0.668741079743664
2007-01-23,295.25539271036786,299.38946533203125,0.8647505540004751
2007-01-24,294.8484395345052,298.3218536376953,0.7908099232499894
2007-01-25,295.9473082224528,299.9281463623047,0.689111222039076
2007-01-26,295.6897824605306,299.42481994628906,0.6792179128659794
2007-01-27,293.7501214345296,298.32374572753906,0.6642611949503037
2007-01-28,291.74551709493,296.51597595214844,0.6571877541331589
2007-01-29,291.0033181508382,295.371337890625,0.5280398260636562
2007-01-30,292.31161816914874,296.5824737548828,0.46224940801596665
2007-01-31,292.02609316507977,296.4170684814453,0.4898837966682326
2007-02-01,290.8638858795166,295.99562072753906,0.4535712471108885
2007-02-02,290.4609120686849,294.79676818847656,0.500527199116999
2007-02-03,289.91601880391437,295.935546875,0.6001972421254085
2007-02-04,291.1267903645833,298.0535888671875,0.5920920204722271
2007-02-05,291.99414761861163,299.4518280029297,0.5505682016570448
2007-02-06,292.99986330668133,300.1189422607422,0.5705101568239368
2007-02-07,293.5808620452881,299.60816955566406,0.6559917473913075
2007-02-08,294.62367057800293,299.8044738769531,0.7131591332454074
2007-02-09,295.2996082305908,300.8749542236328,0.7157456596424562
2007-02-10,296.01744143168133,302.7143249511719,0.6836180086140495
2007-02-11,296.8506800333659,302.44134521484375,0.6649332241469514
2007-02-12,296.5192387898763,302.7401885986328,0.6601523118101374
2007-02-13,296.73169708251953,303.2979431152344,0.6426641780571086
2007-02-14,296.9541842142741,303.2146453857422,0.6070029178237446
2007-02-15,297.2144527435303,305.2977752685547,0.5356934733905404
2007-02-16,296.83385213216144,305.0286560058594,0.5307951808773608
2007-02-17,297.01095898946124,305.211181640625,0.5350278753055956
2007-02-18,297.2593816121419,305.08302307128906,0.5465392941633272
2007-02-19,297.70505650838214,306.0353698730469,0.4867946236894912
2007-02-20,298.0350449879964,305.6309051513672,0.48558529180695903
2007-02-21,298.298033396403,305.4830322265625,0.5369379631865185
2007-02-22,298.22537358601886,305.3784637451172,0.5678798522061823
2007-02-23,298.48828442891437,305.0875701904297,0.583370724086112
2007-02-24,298.9540017445882,305.52520751953125,0.6004637130051038
2007-02-25,298.78442573547363,305.1200866699219,0.6116416250953807
2007-02-26,298.78743171691895,306.0177764892578,0.6109383980270987
2007-02-27,298.72175153096515,304.9486083984375,0.5803216698333862
2007-02-28,299.0647767384847,306.95654296875,0.5153828986437119
2007-03-01,298.4056752522786,306.00518798828125,0.5036594986973325
2007-03-02,298.587495803833,306.61570739746094,0.4254610912387254
2007-03-03,298.6715431213379,306.90550231933594,0.4372006149847562
2007-03-04,299.07795333862305,306.8228454589844,0.4871128348102043
2007-03-05,299.2043221791585,307.64996337890625,0.4462960022619335
2007-03-06,298.92394765218097,307.5538787841797,0.4142844951004331
2007-03-07,298.3280283610026,307.5806121826172,0.38379950420011955
2007-03-08,297.384703318278,306.4949645996094,0.39431237221300314
2007-03-09,297.926077524821,306.16448974609375,0.4044109412295606
2007-03-10,298.46452776590985,305.4154357910156,0.508019344934866
2007-03-11,298.3325710296631,304.4561309814453,0.591250060254267
2007-03-12,299.2186107635498,304.7966613769531,0.5781811121671357
2007-03-13,299.7456862131755,307.1539306640625,0.5254462819532759
2007-03-14,299.6020622253418,307.50196838378906,0.4819989722912342
2007-03-15,299.7507610321045,308.0383758544922,0.468039655321903
2007-03-16,299.50490442911786,308.43223571777344,0.42201506746796935
2007-03-17,299.52308082580566,307.818603515625,0.4474391075835346
2007-03-18,299.18441645304364,307.45294189453125,0.41871151944319157
2007-03-19,299.1275170644124,305.7124481201172,0.5536501219265281
2007-03-20,295.4270483652751,301.32005310058594,0.8391290012632637
2007-03-21,296.04193623860675,301.1934051513672,0.7951904024794889
2007-03-22,296.8292484283447,303.6062927246094,0.7734652941822696
2007-03-23,297.8120365142822,303.98057556152344,0.6227713607264938
2007-03-24,298.6588961283366,307.19219970703125,0.4089981138447631
2007-03-25,299.1767107645671,307.44232177734375,0.4618906680622869
2007-03-26,299.873249689738,307.8396301269531,0.5278385012042578
2007-03-27,300.75755882263184,308.14007568359375,0.5238201849199419
2007-03-28,300.3723500569661,307.2161560058594,0.6268315159739762
